Customer ID,Referred a Friend,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges
8779-QRDMV,No,1,No,No,Yes,DSL,No,No,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65
7495-OOKFY,Yes,8,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,80.65,633.3
1658-BYGOY,No,18,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55
4598-XLKNJ,Yes,25,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5
4846-WHAFZ,Yes,37,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15
4412-YLTKF,No,27,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5
0390-DCFDQ,Yes,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,70.45,70.45
3445-HXXGF,Yes,58,No,No,Yes,DSL,No,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2
2656-FMOKZ,No,15,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,74.45,1145.7
2070-FNEXE,No,7,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6
0094-OIFMO,No,11,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3
9947-OTFQU,No,15,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3
9514-JDSKI,Yes,1,No,No,Yes,DSL,No,Yes,No,No,Yes,No,No,Month-to-Month,No,Bank Withdrawal,40.2,40.2
7273-TEFQD,No,3,No,No,Yes,DSL,No,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2
3606-TWKGI,No,13,Yes,Yes,Yes,Cable,No,Yes,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3
4385-GZQXV,No,16,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2
3488-PGMQJ,No,8,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55
7534-BFESC,No,24,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7
8098-LLAZX,No,4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1
0265-EDXBD,Yes,32,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35
2840-XANRC,Yes,24,Yes,No,Yes,Cable,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05
5020-ZSTTY,No,54,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1
5804-LEPIM,No,2,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05
9057-MSWCO,No,27,No,No,Yes,Cable,Yes,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1
4895-TMWIR,Yes,11,Yes,No,No,None,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75
0533-BNWKF,Yes,55,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7
0334-GDDSO,No,3,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7
5564-NEMQO,No,1,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3
6235-VDHOM,No,5,No,No,Yes,DSL,No,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,28.45,131.05
5609-CEBID,No,20,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4
5956-VKDTT,Yes,5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8
0257-ZESQC,Yes,27,Yes,No,Yes,Cable,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35
2865-TCHJW,No,4,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2
5192-EBGOV,No,1,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7
3419-SNJJD,Yes,65,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,105.25,6786.4
4554-YGZIH,Yes,49,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,Month-to-Month,No,Credit Card,90.05,4547.25
5099-BAILX,Yes,43,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9
4913-EHYUI,No,56,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,No,One Year,Yes,Bank Withdrawal,104.55,5794.65
