Customer ID,Count,Quarter,Customer Status,Churn Label
8779-QRDMV,1,Q3,Churned,Yes
7495-OOKFY,1,Q3,Churned,Yes
1658-BYGOY,1,Q3,Churned,Yes
4598-XLKNJ,1,Q3,Churned,Yes
4846-WHAFZ,1,Q3,Churned,Yes
4412-YLTKF,1,Q3,Churned,Yes
0390-DCFDQ,1,Q3,Churned,Yes
3445-HXXGF,1,Q3,Churned,Yes
2656-FMOKZ,1,Q3,Churned,Yes
2070-FNEXE,1,Q3,Churned,Yes
0094-OIFMO,1,Q3,Churned,Yes
9947-OTFQU,1,Q3,Churned,Yes
9514-JDSKI,1,Q3,Churned,Yes
7273-TEFQD,1,Q3,Churned,Yes
3606-TWKGI,1,Q3,Churned,Yes
4385-GZQXV,1,Q3,Churned,Yes
3488-PGMQJ,1,Q3,Churned,Yes
7534-BFESC,1,Q3,Churned,Yes
8098-LLAZX,1,Q3,Churned,Yes
0265-EDXBD,1,Q3,Churned,Yes
2840-XANRC,1,Q3,Churned,Yes
5020-ZSTTY,1,Q3,Churned,Yes
5804-LEPIM,1,Q3,Churned,Yes
0623-IIHUG,1,Q3,Churned,Yes
9057-MSWCO,1,Q3,Churned,Yes
4895-TMWIR,1,Q3,Churned,Yes
0533-BNWKF,1,Q3,Churned,Yes
0334-GDDSO,1,Q3,Churned,Yes
5564-NEMQO,1,Q3,Churned,Yes
6235-VDHOM,1,Q3,Churned,Yes
5609-CEBID,1,Q3,Churned,Yes
5956-VKDTT,1,Q3,Churned,Yes
0257-ZESQC,1,Q3,Churned,Yes
2865-TCHJW,1,Q3,Churned,Yes
5192-EBGOV,1,Q3,Churned,Yes
3419-SNJJD,1,Q3,Churned,Yes
4554-YGZIH,1,Q3,Churned,Yes
5099-BAILX,1,Q3,Churned,Yes
4913-EHYUI,1,Q3,Churned,Yes
1626-ERCMM,1,Q3,Churned,Yes
5644-PDMZC,1,Q3,Churned,Yes
4160-AMJTL,1,Q3,Churned,Yes
0823-HSCDJ,1,Q3,Churned,Yes
0067-DKWBL,1,Q3,Churned,Yes
5244-IRFIH,1,Q3,Churned,Yes
2684-EIWEO,1,Q3,Churned,Yes
6683-VLCTZ,1,Q3,Churned,Yes
0691-IFBQW,1,Q3,Churned,Yes
3643-AHCFP,1,Q3,Churned,Yes
9231-ZJYAM,1,Q3,Churned,Yes
0727-BMPLR,1,Q3,Churned,Yes
0947-MUGVO,1,Q3,Churned,Yes
0781-LKXBR,1,Q3,Churned,Yes
1907-UBQFC,1,Q3,Churned,Yes
6513-EECDB,1,Q3,Churned,Yes
7074-IEVOJ,1,Q3,Churned,Yes
4750-ZRXIU,1,Q3,Churned,Yes
7028-DVOIQ,1,Q3,Churned,Yes
4208-UFFGW,1,Q3,Churned,Yes
9889-TMAHG,1,Q3,Churned,Yes
8919-FYFQZ,1,Q3,Churned,Yes
6646-QVXLR,1,Q3,Churned,Yes
9369-XFEHK,1,Q3,Churned,Yes
1374-DMZUI,1,Q3,Churned,Yes
1989-PRJHP,1,Q3,Churned,Yes
4822-RVYBB,1,Q3,Churned,Yes
4184-TJFAN,1,Q3,Churned,Yes
4145-UQXUQ,1,Q3,Churned,Yes
1236-WFCDV,1,Q3,Churned,Yes
1271-SJBGZ,1,Q3,Churned,Yes
4441-NIHPT,1,Q3,Churned,Yes
8999-BOHSE,1,Q3,Churned,Yes
7029-RPUAV,1,Q3,Churned,Yes
8111-SLLHI,1,Q3,Churned,Yes
5293-WXJAK,1,Q3,Churned,Yes
4086-YQSNZ,1,Q3,Churned,Yes
8399-YNDCH,1,Q3,Churned,Yes
